Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
1170248.343523826450	00000.159550039319	00000.000135001874	
1170248.343523826450	00005.209883138444	00000.003438596824	
1170248.343523826450	00000.052273184391	00000.000021187164	
08220.094181847708	00000.030462024714	00000.000156815094	
08220.094181847708	00000.000140772489	00000.000069801182	
08220.094181847708	00000.000000000474	00000.000000169378	
08220.094181847708	00004.200766770785	00000.001440016182	
08220.094181847708	00000.000000000231	00000.000004119003	
2608130.467034744099	00012.248183089803	00000.008956005299	
2608130.467034744099	00000.120003466278	00000.000000218648	
2608130.467034744099	00319.442217412419	00002.882424839150	
2608130.467034744099	00229.932444292080	00000.138847610760	
2608130.467034744099	00024.331442162947	00000.071083662356	
2608130.467034744099	00191.309184706839	00000.614823436149	
2608130.467034744099	00001.519835918791	00000.000419854240	
441353.797894003219	00001.553247952691	00000.002394058405	
441353.797894003219	00068.854499085576	00000.295751427760	
441353.797894003219	00000.302145370225	00000.000120579540	
441353.797894003219	00000.486788338935	00000.000314491215	
441353.797894003219	00000.082411583643	00000.000008631904	
6843232.105225649662	00059.490524490612	00000.851623327148	
6843232.105225649662	00166.996910447016	00000.023232325429	
6843232.105225649662	00003.370897019302	00000.007459816301	
6843232.105225649662	00000.023273184770	00000.000096530730	
6843232.105225649662	00000.002752774395	00000.000040955880	
6843232.105225649662	00000.062751258539	00000.000805564631	
6843232.105225649662	00000.074630845614	00000.002343740864	
6031760.618253014982	00203.447470731195	00000.001605194641	
6031760.618253014982	00024.394348898568	00000.000267183403	
6031760.618253014982	00000.005064729951	00000.000240632572	
6031760.618253014982	00010.838383723479	00000.011005058684	
6031760.618253014982	00000.369357773100	00000.000129356356	
1890604.882394521264	00011.441135431510	00000.042557471804	
1890604.882394521264	00007.619338642378	00000.001213457795	
1890604.882394521264	00038.522849324776	00000.115466799098	
1890604.882394521264	00001.371352761212	00000.000313933869	
1890604.882394521264	00000.805491814221	00000.000083539424	
1890604.882394521264	00000.424771416358	00000.000334209103	
1890604.882394521264	00002.894574889362	00000.000050636371	
1890604.882394521264	00000.308002364647	00000.000081826632	
1890604.882394521264	00002.130488756712	00000.000234998387	
313623.429573738482	00021.658400945159	00000.076720154218	
313623.429573738482	00000.798096389977	00000.000086397740	
313623.429573738482	00000.309236767235	00000.000004037949	
313623.429573738482	00000.059981676473	00000.000009195859	
313623.429573738482	00000.335725275433	00000.000281357893	
313623.429573738482	00000.003312487483	00000.000003622954	
313623.429573738482	00000.024422921500	00000.000059259767	
313623.429573738482	00000.012180892656	00000.000000719040	
2727537.484806834720	00013.547652310991	00000.011400248457	
1120716.072911772411	00006.948637880019	00000.062303870992	
1120716.072911772411	00001.395601656308	00000.000110516512	
6661064.540566010401	00042.148434957840	00000.116679646606	
6661064.540566010401	00866.403074619576	00000.179920992270	
6661064.540566010401	00009.415527906939	00000.007325373274	
6661064.540566010401	00006.546254311639	00000.000131050350	
6661064.540566010401	00001.730945305279	00000.000000252432	
6661064.540566010401	00057.089613216993	00000.000370410795	
6661064.540566010401	00059.579278474169	00000.268825715953	
6661064.540566010401	00000.790110293453	00000.000031720940	
1998589.387090296019	00329.159713198697	00000.637414049397	
1998589.387090296019	00000.854181897453	00000.000312988085	
1998589.387090296019	00019.101151665716	00000.007198484398	
41525.484473137119	00000.001653026496	00000.000021584879	
41525.484473137119	00000.000003155203	00000.000001227939	
41525.484473137119	00000.048327957497	00000.000105878001	
41525.484473137119	00000.026392031950	00000.000006108189	
41525.484473137119	00000.000019369110	00000.000007294169	
41525.484473137119	00000.000017453186	00000.000000811865	
2256594.961405487731	00028.341166243529	00000.027245594488	
2256594.961405487731	00025.506465477098	00000.013988750741	
2256594.961405487731	00000.294787131961	00000.000220693731	
2256594.961405487731	00000.319188887677	00000.000345700513	
2256594.961405487731	00002.144481120889	00000.009593902236	
2256594.961405487731	00003.422988180617	00000.003032040980	
104929.964355389558	00002.326011736793	00000.001024474069	
104929.964355389558	00000.000148041784	00000.000003416044	
104929.964355389558	00000.000092104502	00000.000029745392	
2779664.405160483439	00010.902582225448	00000.007739923077	
2779664.405160483439	00001.743147452196	00000.000203234054	
2779664.405160483439	00000.428692604358	00000.000375617427	
2779664.405160483439	00000.119072667018	00000.000000480056	
2779664.405160483439	00000.698227800524	00000.000181552814	
2779664.405160483439	00005.965193692845	00000.026725739582	
2779664.405160483439	00085.800297769520	00000.013733623622	
2779664.405160483439	00000.909516005217	00000.000000371666	
2779664.405160483439	00003.766529398403	00000.005200450763	
2779664.405160483439	00000.827434307364	00000.000716269892	
2779664.405160483439	00000.406646505813	00000.000367223965	
2779664.405160483439	00000.167864449376	00000.000089218387	
2779664.405160483439	00000.210404707784	00000.000021275496	
259060.191979417345	00006.965542365995	00000.008030344706	
259060.191979417345	00000.683600032818	00000.000041127856	
259060.191979417345	00000.187176151111	00000.000009075473	
259060.191979417345	00000.029409981627	00000.000170557758	
259060.191979417345	00000.019987813833	00000.000014790733	
259060.191979417345	00000.016586774491	00000.000068649805	
1360409.472274075262	00001.299198576045	00000.005557955280	
1360409.472274075262	00000.014560903808	00000.000816939988	
1360409.472274075262	00032.268557127750	00000.117319847003	
1360409.472274075262	00056.223831729552	00000.005949253917	
1360409.472274075262	00001.989377092838	00000.000001140440	
1360409.472274075262	00001.997039003111	00000.001973979956	
1360409.472274075262	00000.009047032860	00000.002290574307	
1360409.472274075262	00000.003067624952	00000.000002467976	
72138.913089115318	00000.000565527566	00000.000019003044	
120101.505285035862	00000.591206198932	00000.000596119142	
120101.505285035862	00002.092757210968	00000.012697408119	
120101.505285035862	00002.311009231958	00000.005640784891	
120101.505285035862	00000.044203197634	00000.000065312801	
120101.505285035862	00000.023449612934	00000.000023141497	
120101.505285035862	00000.000041514780	00000.000006423952	
56122.825767969538	00000.000008709443	00000.000004063731	
83571.817723657528	00002.399679660358	00000.006492160553	
83571.817723657528	00000.000436382338	00000.000000001795	
83571.817723657528	00000.000216427668	00000.000000006716	
83571.817723657528	00000.353008562860	00000.000000115221	
83571.817723657528	00000.273739637799	00000.000001851855	
83571.817723657528	00000.182095418854	00000.000307052806	
83571.817723657528	00000.000887294426	00000.000004971938	
83571.817723657528	00000.000224718049	00000.000000444545	
40398.804838399257	00035.001056741646	00000.138450462644	
40398.804838399257	00000.004508106521	00000.000023414393	
40398.804838399257	00000.000002839103	00000.000026301798	
40398.804838399257	00000.098228058442	00000.000398807075	
40398.804838399257	00000.028837309894	00000.000135967758	
40398.804838399257	00000.000242346792	00000.000078419056	
40398.804838399257	00000.000000642453	00000.000000916906	
61682.011416245718	00034.655059967775	00000.009535998515	
61682.011416245718	00000.125953308370	00000.001283094851	
61682.011416245718	00000.000088516087	00000.000001215738	
61682.011416245718	00000.190038984726	00000.000053188915	
61682.011416245718	00000.000016137137	00000.000000702703	
61682.011416245718	00000.000001251166	00000.000000978476	
143674.135974978650	00011.888636510023	00000.123620133297	
143674.135974978650	00000.539805627989	00000.001467986491	
143674.135974978650	00000.015006599965	00000.000122220143	
143674.135974978650	00000.000825598075	00000.000004117274	
29537.123873625897	00000.000135577424	00000.000005306943	
29537.123873625897	00000.000335688234	00000.000007804344	
90134.091818923742	00000.002870170196	00000.000059536015	
90134.091818923742	00000.000027722617	00000.000003970250	
90134.091818923742	00014.984487300082	00000.023278720158	
90134.091818923742	00003.693434192359	00000.024406443283	
90134.091818923742	00000.391027016104	00000.001402169092	
90134.091818923742	00000.471242316539	00000.000256408083	
90134.091818923742	00000.000001372434	00000.000009318601	
59308.031595173699	00001.246710252275	00000.021665137511	
59308.031595173699	00000.001055694438	00000.000002130699	
59308.031595173699	00002.346438726864	00000.010817736189	
59308.031595173699	00005.747310643541	00000.038039072631	
59308.031595173699	00000.317533894088	00000.000203653644	
59308.031595173699	00000.039180027010	00000.000000221722	
59308.031595173699	00000.008662028494	00000.000023926737	
59308.031595173699	00000.000010272604	00000.000002737236	
538332.787740919273	00024.314522916548	00000.028313000245	
538332.787740919273	00000.178177798535	00000.000016290631	
538332.787740919273	00000.667637298982	00000.001116463934	
538332.787740919273	00000.045646683221	00000.000018913635	
70499.049687734645	00000.004901410010	00000.000100286848	
07046.802684964129	00000.000021156265	00000.000003946787	
20643.092846367774	00000.045313398071	00000.000001809841	
20643.092846367774	00000.000000040323	00000.000000127502	
20643.092846367774	00000.530901499676	00000.000612431897	
20643.092846367774	00000.374976481687	00000.001763317691	
20643.092846367774	00000.263567426556	00000.000053494793	
20643.092846367774	00000.000186826126	00000.000018605505	
20643.092846367774	00000.000000023459	00000.000002836553	
40351.791795264697	00000.012805007311	00000.000019361768	
40351.791795264697	00003.071440745613	00000.000314427850	
40351.791795264697	00000.000000030749	00000.000002660083	
26591.697811252263	00001.129321521392	00000.002347377588	
26591.697811252263	00000.012242517554	00000.000000983644	
26591.697811252263	00000.000006286482	00000.000003963855	
26591.697811252263	00000.000000059429	00000.000009596595	
30872.867143248968	00000.071113295182	00000.000474166014	
30872.867143248968	00000.000000037797	00000.000000221078	
30872.867143248968	00001.371851366041	00000.007569109864	
30872.867143248968	00001.148226824254	00000.002618615050	
30872.867143248968	00000.026852083332	00000.000002376765	
30872.867143248968	00000.019557437838	00000.000002906275	
30872.867143248968	00000.001696482809	00000.000000476860	
30872.867143248968	00000.000485720447	00000.000000001403	
30817.056388032237	00001.685934836258	00000.024605289643	
30817.056388032237	00000.571238558208	00000.000322084526	
