Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
2673327.957028015517	00000.022572124850	00000.000308399739	
2673327.957028015517	00008.133863608348	00000.007855167729	
2673327.957028015517	00000.002812222955	00000.000048400187	
16510.518294830745	00000.000341909882	00000.000314971875	
16510.518294830745	00000.000000027692	00000.000140199573	
16510.518294830745	00000.000000000000	00000.000000340206	
16510.518294830745	00000.788186183816	00000.002892352934	
16510.518294830745	00000.000000000000	00000.000008273248	
6005724.596099784598	00006.545471767915	00000.020622933547	
6005724.596099784598	00000.010824736478	00000.000000503479	
6005724.596099784598	00631.194150763731	00006.637340413639	
6005724.596099784598	00381.420417979443	00000.319723465368	
6005724.596099784598	00025.027816552073	00000.163683874250	
6005724.596099784598	00080.502390171325	00001.415749817506	
6005724.596099784598	00000.147988763432	00000.000966795553	
963486.195764257805	00000.570698204211	00000.005226288379	
963486.195764257805	00068.588287896703	00000.645632640715	
963486.195764257805	00000.085368934255	00000.000263228102	
963486.195764257805	00000.047656146556	00000.000686542057	
963486.195764257805	00000.003020760585	00000.000018843658	
15083063.230641251430	00073.175055957688	00001.877049951624	
15083063.230641251430	00123.192844414589	00000.051206013189	
15083063.230641251430	00000.078829339851	00000.016442067027	
15083063.230641251430	00000.000058296607	00000.000212761906	
15083063.230641251430	00000.000003681692	00000.000090270230	
15083063.230641251430	00000.000661008389	00000.001775532684	
15083063.230641251430	00000.000233275411	00000.005165803396	
13167481.778953617439	00085.871948847922	00000.003504179381	
13167481.778953617439	00004.110619712258	00000.000583267939	
13167481.778953617439	00000.000010995861	00000.000525306823	
13167481.778953617439	00004.556013960835	00000.024024313773	
13167481.778953617439	00000.011226023606	00000.000282388107	
4376437.292181342840	00019.349078230445	00000.098513501365	
4376437.292181342840	00012.941725291213	00000.002808953894	
4376437.292181342840	00060.079174467991	00000.267286523106	
4376437.292181342840	00001.348124699908	00000.000726704932	
4376437.292181342840	00000.603919217903	00000.000193379935	
4376437.292181342840	00000.200840706318	00000.000773638743	
4376437.292181342840	00000.560128398038	00000.000117214816	
4376437.292181342840	00000.091117693428	00000.000189415106	
4376437.292181342840	00000.561289152969	00000.000543982359	
699403.507989647565	00029.799743876891	00000.171091633895	
699403.507989647565	00000.095713115268	00000.000192673368	
699403.507989647565	00000.026235167553	00000.000009004926	
699403.507989647565	00000.004681603186	00000.000020507447	
699403.507989647565	00000.014094167288	00000.000627448968	
699403.507989647565	00000.000039945111	00000.000008079456	
699403.507989647565	00000.000230919511	00000.000132153676	
699403.507989647565	00000.000350830072	00000.000001603513	
6297683.087424557656	00021.308840417205	00000.026322333717	
2550527.024147861172	00011.896441468171	00000.141791226623	
2550527.024147861172	00000.368275587196	00000.000251513616	
15379907.236852092668	00077.259986464058	00000.269404707055	
15379907.236852092668	01312.367345630793	00000.415424314570	
15379907.236852092668	00011.329529914027	00000.016913747157	
15379907.236852092668	00003.409345942826	00000.000302585603	
15379907.236852092668	00000.330292283273	00000.000000582847	
15379907.236852092668	00075.863474295209	00000.000855251233	
15379907.236852092668	00049.000288022756	00000.620698771053	
15379907.236852092668	00000.046294737921	00000.000073241312	
4614595.638701606542	00409.567534641370	00001.471742075382	
4614595.638701606542	00000.525339691379	00000.000722666428	
4614595.638701606542	00003.794891324685	00000.016620770090	
86992.126722298024	00000.000003844444	00000.000045218366	
86992.126722298024	00000.000000000294	00000.000002572420	
86992.126722298024	00000.002987200256	00000.000221804817	
86992.126722298024	00000.001236755091	00000.000012796103	
86992.126722298024	00000.000000004152	00000.000015280623	
86992.126722298024	00000.000000001835	00000.000001700784	
5202130.364458229393	00046.180461025312	00000.062809293120	
5202130.364458229393	00017.067345029372	00000.032248279481	
5202130.364458229393	00000.049855610583	00000.000508765453	
5202130.364458229393	00000.027985059072	00000.000796943700	
5202130.364458229393	00002.421253938491	00000.022116831328	
5202130.364458229393	00000.467653727618	00000.006989766759	
223088.448425595125	00001.627495861372	00000.002178103574	
