nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	SName	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	SName	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	
1	3.01336	2.40053	6.60480	0.00000	2.71726	0.36087	1.26371	4.72391	0.35440	0.39636	0.09674	178.06186	0.03008	0.03008	0.00231	0.00233	116.86208	0.38056	820.28270	3	*  36 UMa B	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
1	0.53667	11.28565	0.07484	0.00000	2.71726	5.29401	2.03186	5.53179	0.69889	0.31991	0.02550	178.06186	0.08442	0.08442	0.00600	0.00653	14.83818	0.14617	404.64999	3	*  36 UMa B	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
1	1.41972	33.51251	5.36760	0.00000	2.71726	0.68144	1.02361	1.14749	0.67000	0.16316	0.03550	178.06186	0.17440	0.17440	0.01270	0.01350	3.47648	0.16700	288.04931	3	*  36 UMa B	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
1	1.14133	137.75190	1.28300	0.00000	2.71726	3.33583	1.88971	0.89710	0.15651	0.57178	0.00663	178.06186	0.44752	0.44752	0.03428	0.03464	0.52798	0.25006	227.36775	3	*  36 UMa B	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	
0	0.61297	1.39501	0.22467	0.00000	1.81241	0.49453	4.43650	0.31155	0.44247	0.15771	0.08509	238.49096	0.02128	0.02128	0.00147	0.00608	315.98680	0.97187	1014.00022	4	*  61 Cyg A	0.67200	0.66000	4330.00000	3.49717	K	316.72475	38.74942	82.31974	-5.81811	
0	1.65542	4.39909	4.45356	0.00000	1.81241	0.73430	5.53790	2.78041	0.55870	0.41936	0.09887	238.49096	0.04575	0.04575	0.00649	0.01308	68.33142	0.01446	652.21704	4	*  61 Cyg A	0.67200	0.66000	4330.00000	3.49717	K	316.72475	38.74942	82.31974	-5.81811	
0	2.68438	227.58744	3.77263	0.00000	1.81241	1.83356	2.88343	1.62711	0.13208	0.19743	0.03526	238.49096	0.63521	0.63521	0.05603	0.18164	0.35446	0.95448	207.28434	4	*  61 Cyg A	0.67200	0.66000	4330.00000	3.49717	K	316.72475	38.74942	82.31974	-5.81811	
0	1.03219	362.71018	0.76388	0.00000	1.81241	0.16028	2.90193	4.09789	0.62887	0.49505	0.08222	238.49096	0.86668	0.86668	0.19088	0.24782	0.19041	0.06669	143.50216	4	*  61 Cyg A	0.67200	0.66000	4330.00000	3.49717	K	316.72475	38.74942	82.31974	-5.81811	
0	0.54739	452.06655	0.10215	0.00000	1.81241	3.06068	3.22557	6.08810	0.64408	0.02353	0.04166	238.49096	1.00374	1.00374	0.28535	0.28701	0.14196	0.26633	131.95729	4	*  61 Cyg A	0.67200	0.66000	4330.00000	3.49717	K	316.72475	38.74942	82.31974	-5.81811	
1	0.63171	217.04176	0.10871	0.00000	1.05284	2.40860	4.45463	0.65776	0.54637	0.33956	0.07446	9.95028	0.61543	0.61543	0.10553	0.17598	0.37761	0.82732	179.05696	4	*  61 Cyg A	0.67200	0.66000	4330.00000	3.49717	K	316.72475	38.74942	82.31974	-5.81811	
