# %ECSV 0.9,,,,,,,,,,,,
# ---,,,,,,,,,,,,
# datatype:,,,,,,,,,,,,
# - name: sim_ra,,,,,,,,,,,,
#   unit: deg,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Right ascension,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.eq.ra;meta.main},,,,,,,,,,,,
# - name: sim_dec,,,,,,,,,,,,
#   unit: deg,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Declination,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.eq.dec;meta.main},,,,,,,,,,,,
# - name: sim_plx,,,,,,,,,,,,
#   unit: mas,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Parallax,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.parallax.trig},,,,,,,,,,,,
# - name: distance,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.parallax.trig},,,,,,,,,,,,
# - {name: sim_name, datatype: string},,,,,,,,,,,
# - {name: sim_sptype, datatype: string},,,,,,,,,,,
# - {name: gal_coord_l, unit: deg, datatype: float64},,,,,,,,,,
# - {name: gal_coord_b, unit: deg, datatype: float64},,,,,,,,,,
# - {name: mod_Teff, unit: K, datatype: float64},,,,,,,,,,
# - {name: mod_R, unit: solRad, datatype: float64},,,,,,,,,,
# - {name: mod_M, unit: solMass, datatype: float64},,,,,,,,,,
# - {name: sep_phys, unit: AU, datatype: float64},,,,,,,,,,
# - {name: binary_flag, datatype: bool},,,,,,,,,,,
# delimiter: ',',,,,,,,,,,,
# meta: !!omap,,,,,,,,,,,,
# - {ID: result_1591693106145},,,,,,,,,,,,
# - {name: result_1591693106145},,,,,,,,,,,,
# schema: astropy-2.0,,,,,,,,,,,,
sim_ra,sim_dec,sim_plx,distance,sim_name,sim_sptype,gal_coord_l,gal_coord_b,mod_Teff,mod_R,mod_M,sep_phys,binary_flag
160.4610179,-36.63076016,56.3844,17.73540199,CPD-35  4332,M2+V,275.8243455,19.32795714,3500,0.393,0.4,303.3,TRUE
214.3420932,45.42944342,51.7439,19.32594953,FBS 1415+456,M5/6,85.53941976,64.96215443,3000,0.149,0.12,1142.2,TRUE
176.9197797,0.255584481,53.1949,18.79879462,G  10-49,M4V,270.6359243,59.06986393,3100,0.243,0.18,456.8,TRUE
203.1858542,16.81086474,60.3012,16.58341791,G  63-36A,M3.5Ve,347.8592147,75.9375128,3250,0.291,0.26,43.1,TRUE
203.1864848,16.81145806,60.3748,16.56320187,G  63-36B,M4Ve,347.8626919,75.93756394,3100,0.243,0.18,43.1,TRUE
217.0732333,5.312720686,52.7452,18.95907116,G  65-53,M3.5Ve,353.8493648,58.25757928,3250,0.291,0.26,1154.6,TRUE
217.0896635,5.317027834,52.6975,18.97623227,G  65-54,M3.0Ve,353.8774322,58.24932755,3250,0.291,0.26,1155.7,TRUE
17.98160692,4.918105828,63.5922,15.725199,G  70-43,M3.5Ve,132.480509,-57.57329788,3250,0.291,0.26,998.6,TRUE
17.99162323,4.903460791,64.6265,15.47352866,G  70-44,M4V,132.5029697,-57.58630038,3100,0.243,0.18,982.6,TRUE
39.19882043,32.07218327,51.1963,19.53266154,G  74-34A,M3.5,147.5939399,-25.70521844,3250,0.291,0.26,50.8,TRUE
39.19936392,32.07262818,51.1368,19.55538868,G  74-34B,M3,147.5941829,-25.7046167,3250,0.291,0.26,50.8,TRUE
167.8311497,43.41733479,59.7825,16.72730314,G 122-2A,M3,167.5353523,64.04728891,3250,0.291,0.26,60.2,TRUE
167.8325914,43.41750744,59.8346,16.71273811,G 122-2B,M2.5,167.5337932,64.04810187,3500,0.393,0.4,60.2,TRUE
142.2321391,-7.369958603,57.1832,17.48765372,G 161-34,M4.5,240.5458839,30.09389578,3100,0.243,0.18,622.6,TRUE
89.90729954,58.59301255,74.1524,13.48574018,G 192-11,M0.0V,154.9282945,16.57227802,3800,0.535,0.54,2172.6,TRUE
89.9820196,58.5708921,74.0334,13.50741692,G 192-12,M4.2V,154.9664633,16.59812872,3100,0.243,0.18,2176,TRUE
274.5141671,38.77618211,88.0473,11.35753169,G 204-57,M4V,66.18566998,22.7229476,3100,0.243,0.18,96.5,TRUE
